laptop_id,name,price,original_price,discount_pct,status,delivery_location,seller,seller_shipping_speed,seller_quality-score,customer_rating,seller_score,seller's_followers,brand,model,ram,storage,storage_unit,processor,os,display,rating_score,value_for_money,price_diff,price_range
9540355,"HP EliteBook 830 G7 Core I5 10th Generation 16GB RAM 512GB SSD 13.3 Inches Touchscreen, Windows 11 Pro, Quad Core, HDMI, Refurbished Laptop",26000.0,50000.0,20%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Digitech Computers,Good,Poor,Average,66%,151.0,HP,EliteBook,16GB,16.0,GB,,Windows 11,14.0,3.0,8666.666666666666,24000.0,Mid
314853446,HP REFURBISHED ZDBOOK FIREFLY G8 INTEL CORE I5 16GB RAM MEMORY 512GB SSD 11TH GENERATION,44999.0,50000.0,10%,5 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Laptoppalace,Excellent,,Unknown,98%,3.0,HP,REFURBISHED,16GB,16.0,GB,,,14.0,1.0,44999.0,5001.0,High
324798401,Lenovo  ThinkPad X270 Intel Core I5-Refurbished-8GB RAM 256GB SSD Windows 10 Pro Laptop,18100.0,26899.0,33%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,RICKTECH COMPUTERS,Good,Excellent,Excellent,98%,23.0,Lenovo,ThinkPad,8GB,8.0,GB,,Windows 10,14.0,5.0,3620.0,8799.0,Low
306408927,DELL Latitude 7490 Refurb Core I7-8th Gen 16GB RAM 256GB SSD,32000.0,48000.0,33%,5 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,ALLOYS HUB,Average,Excellent,Very Poor,58%,32.0,DELL,Latitude,16GB,16.0,GB,,,14.0,1.0,32000.0,16000.0,Mid
313002067,"HP ELITEBOOK 840 G3, CORE I5 6TH GEN, 16GB RAM, 256GB SSD , 14"" SCREEN RREFUBRISHED",23499.0,30000.0,22%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Phonelegit Kenya,Good,Excellent,Good,92%,12.0,HP,ELITEBOOK,16GB,16.0,GB,,,14.0,4.0,5874.75,6501.0,Mid
325550562,"HP Model -HP EliteBook 840 G5 Processor- Intel Core i5-8300U -8th Generation Memory- 8GB DDR4 Hard drive- 256 GB SSD Display-14""  FHD ANTIGLARE SLIM LED Color- SILVER + Wireless mouse",27074.0,40000.0,32%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Lawre Digital Solutions,Good,Excellent,Poor,82%,6.0,HP,Model,8GB,8.0,GB,i5,,14.0,2.0,13537.0,12926.0,Mid
161791838,Toshiba REFURBISHED X40-D Intel(R) Core(TM) I5 7th Gen 8gb 256,32500.0,38500.0,16%,5 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,MAXPORTS MERCHANTS LIMITED,Excellent,Very Poor,Unknown,50%,16.0,Toshiba,REFURBISHED,8GB,8.0,,,,14.0,1.0,32500.0,6000.0,Mid
265651384,"HP Refurbished EliteBook 16GB RAM 256GB SSD Intel Core I5 Laptop  14'' Windows 11 PRO Activated, Office & Basic Software Installed, Free Bag + Free Wireless Mouse + Charger + Mouse Pad",21500.0,40000.0,46%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Cray Computer Technologies,Good,Excellent,Very Poor,66%,11.0,HP,Refurbished,16GB,16.0,GB,,Windows 11,14.0,1.0,21500.0,18500.0,Mid
325306934,Lenovo Refurbished Laptop ThinkPad X390 Intel Core i5-8365U Laptop 8GB DDR4-SDRAM 256 GB SSD 13.3 Display,23600.0,29000.0,19%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Tehillah Distributors,Very Poor,Excellent,Good,68%,10.0,Lenovo,Refurbished,8GB,8.0,GB,i5,,14.0,4.0,5900.0,5400.0,Mid
325634549,"HP -HP EliteBook 840 G5 Processor- Intel Core i5-8300U -8th Generation Memory- 16GB DDR4 Hard drive- 1TB SSD Storage Display-14""  FHD  Color- SILVER +Wired mouse",36574.0,45000.0,19%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Lawre Digital Solutions,Good,Excellent,Poor,82%,6.0,HP,-HP,16GB,16.0,GB,i5,,14.0,2.0,18287.0,8426.0,High
326463121,HP EliteBook 830 G7 13.3inch Intel Core i5 16GB RAM 512GB SSD 10th Generation with fingerprint sensor 6 months warranty +free bag,38500.0,45500.0,15%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Unicom computers,,,Unknown,,,HP,EliteBook,16GB,16.0,GB,i5,,13.3,1.0,38500.0,7000.0,High
325674968,"HP Refurbished EX-UK ZBook 14u G6 14"" Mobile Workstation, Intel Core i5-8265U, 16 GB RAM, 256 GB SSD, Windows 11 Pro",34499.0,40000.0,14%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,PRODUCTS ZONE,Good,Poor,Average,68%,123.0,HP,Refurbished,16GB,16.0,GB,i5,Windows 11,14.0,3.0,11499.666666666666,5501.0,Mid
