laptop_id,name,price,price_before_discount,discount_pct,status,delivery_to_nairobi,seller,seller_shipping_speed,seller_quality-score,seller_customer_rating,seller_score,seller's_followers,scraped_at
1813969,"Refurbished EliteBook 820, Intel Core I5,  Slim Model , 500HDD, 4GB RAM , Black- 12.5""","KSh 16,299","KSh 29,999",46%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Betty Tech Computers,Good,Very Poor,Average,50%,174,2026-01-26 19:41:00
326163169,HP EliteBook 1040 G5 Intel Core i7 16GB 512GB x360 Touch,"KSh 45,000",,,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,LAPTOPS WORLD LTD,Excellent,Very Poor,Average,60%,7,2026-01-26 19:42:01
8354829,"HP ProBook X360 11 G2 Core I5 8GB 256GB SSD 7th Generation, 11.6 Inches Touchscreen 2 In 1 Refurbished Laptop",,"KSh 25,599",18%,6 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,ALLOYS HUB,Average,Excellent,Very Poor,58%,32,2026-01-26 19:42:03
9553961,"HP EliteBook 820 Core I5 8GB RAM 500gb Hdd Slim Ultrabook Laptop Refurbished, 6 Months WRTY",,"KSh 70,000",77%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Computer Spot Kenya,Excellent,Excellent,Average,86%,32,2026-01-26 19:42:04
132457343,,"KSh 16,750","KSh 20,000",16%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Westside Computer Hub,Good,Excellent,Average,86%,208,2026-01-26 19:42:05
326558178,Lenovo  Thinkpad T14 Intel Core I5 10th Gen 8gb Ram 256gb SSD 14 Inch FHD  Refurbished,"KSh 25,000","KSh 45,000",44%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,ARIZONA VILLA COMPUTERS,Very Poor,Excellent,,64%,47,2026-01-26 19:42:37
321245273,"HP EliteBook 830 G6 Core I5-8th Gen-8GB Ram- 256GB SSD- Refurbished- 13.3""-Silver-Win 11 Ultra-Slim (6 Months WRTY)","KSh 27,500","KSh 35,000",21%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Gloresian Limited,Excellent,Excellent,Excellent,100%,3,2026-01-26 19:42:38
312651185,Lenovo Refurbished ThinkPad X1 Yoga X360 Core I7 8GB 512GB SSD 8th Gen 14 Inch FHD Touchscreen,"KSh 40,500","KSh 55,000",26%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,JULTECH TECHNOLOGIES,Good,Excellent,Good,90%,12,2026-01-26 19:42:38
326422553,"Lenovo ThinkPad T14s -11th Gen-Core i5 -16GB RAM -256GB SSD -Refurbished -Black-Win 11 Pro-14""","KSh 34,999","KSh 40,000",13%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Mictouch Technology Limited,Excellent,Poor,Good,74%,553,2026-01-26 19:42:40
325918207,Lenovo  Refurbished ThinkPad X1 Yoga X360 Core I7 16GB 512GB SSD 8th Gen 14 Inch FHD Touchscreen Laptop  (6 Months WRTY),"KSh 49,599","KSh 55,000",10%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,TWENDY,Good,Excellent,Good,88%,10,2026-01-26 19:42:40
